Date,Name,Tweets,USD_EUR
2018-05-25,Emmanuel Macron,Didier Deschamps a fait le choix d’une équipe jeune. Je leur souhaite bonne route et j’ai confiance en cette équipe… https://t.co/vBNqtLqH7r,1.1675
2018-05-25,Emmanuel Macron,"Si la France n’était pas écoutée, tous nos alliés européens et la Russie ne se seraient pas alignés sur notre proposition sur l’Iran.",1.1675
2018-05-25,Emmanuel Macron,Le but de la diplomatie est d’abord la sécurité de nos concitoyens : nous battre contre les terroristes qui nous ont attaqués.,1.1675
2018-05-25,Emmanuel Macron,On pourrait me reprocher de ne pas me battre. On ne peut me reprocher le choix faits par d’autres pays.,1.1675
2018-05-25,Emmanuel Macron,En septembre j’ai fait la proposition française. J’ai dit: « Voici comment nous voyons l’Europe. » https://t.co/xwuzYKjw3u,1.1675
2018-05-25,Emmanuel Macron,Je ne suis jamais loin de la France. À l’international nous parlons de l’intimité du pays.,1.1675
2018-05-25,Emmanuel Macron,Quand on défend les intérêts de la France à l’étranger on travaille pour les Français.,1.1675
2018-05-25,Emmanuel Macron,Depuis septembre 2017 je propose de compléter l’accord sur l’Iran. https://t.co/4fEhNNnRg4,1.1675
2018-05-25,Emmanuel Macron,Je ne suis pas dans la diplomatie des états d’âme. La relation personnelle doit être au service des intérêts du pays.,1.1675
2018-05-25,Emmanuel Macron,Aux manifestants et aux grévistes : je les respecte mais des engagements ont été pris. Si nous ne les tenons pas la… https://t.co/4lfZnb2vyq,1.1675
2018-05-25,Emmanuel Macron,Nous avons mis fin à l’impuissance française. Beaucoup de gens pensaient qu’on disait les choses pour ne pas les faire.,1.1675
2018-05-25,Emmanuel Macron,Mon seul message : ceux qui veulent bloquer le pays n’y arriveront pas. Aucun désordre ne m’arrêtera. Le calme revi… https://t.co/LZUZbVFqS8,1.1675
2018-05-25,Emmanuel Macron,Les deux métiers les plus difficiles en France : Président de la République et sélectionneur de l’équipe de France… https://t.co/bASUD3QfHw,1.1675
2018-05-25,Emmanuel Macron,Bravo à tous les entrepreneurs qui développent les relations économiques franco-russes ! Notre relation a un bel av… https://t.co/gqTyn8B0Cm,1.1675
2018-05-25,Emmanuel Macron,"Время, в котором мы живём (пусть речь идёт об Украине или о Ближнем Востоке), требует того, чтобы Россия и Франция… https://t.co/H4ySSiUfgq",1.1675
2018-05-25,Emmanuel Macron,L’histoire de la Russie s’enrichit de son lien avec l’Europe occidentale. L’Ermitage qui en contient les œuvres est… https://t.co/cA8W0Stv7H,1.1675
2018-05-25,Emmanuel Macron,Внешняя политика Франции полностью независима. Мы ни на кого не равняемся. Мы сами принимаем наши решения для нас с… https://t.co/37swa0rw0U,1.1675
2018-05-25,Emmanuel Macron,"Чтобы избежать эскалации насилия на Ближнем Востоке, наше общее с Россией желание заключается в создании более обще… https://t.co/X2PjQdQ4Ft",1.1675
2018-05-25,François Hollande,Nous avons également échangé sur les grands enjeux de notre monde : la préservation de l’accord sur le nucléaire ir… https://t.co/Np0Fvpqj43,1.1675
2018-05-25,François Hollande,"Je suis heureux de retrouver le Président Xi Jinping, avec qui j’ai noué une relation forte lors de la préparation… https://t.co/xGRMc8SUcV",1.1675
2018-05-24,Emmanuel Macron,"Ensemble, inventons un nouveau modèle ! Nous ne devons pas le subir, c’est celui du #TechForGood : réconcilier l’in… https://t.co/c15o49oGiu",1.1728
2018-05-24,Emmanuel Macron,"We have to do it together.
Let's come back every year for a #TechForGood Summit in Paris.
https://t.co/RfyqSLajhO",1.1728
2018-05-24,Emmanuel Macron,"With the GDPR we are building a European sovereignty on data. We have to do the same for the cloud, for AI, for inn… https://t.co/Mb8WtngXHa",1.1728
2018-05-24,Emmanuel Macron,"In term of Artificial Intelligence, France has an incredible ecosystem with labs, universities and companies. But t… https://t.co/S9lgPIY0o5",1.1728
2018-05-24,Emmanuel Macron,"I have a message: I am a big tech optimist, but making money and creating jobs is not sufficient. We all are living… https://t.co/1N41AzKiiA",1.1728
2018-05-24,Emmanuel Macron,Mon message pour les entrepreneurs africains : rejoignez l’initiative #DigitalAfrica. #VivaTech… https://t.co/Tf2uYhKoO2,1.1728
2018-05-24,Emmanuel Macron,Ce sont nos quartiers populaires qui sont les plus créateurs d’entreprises. #VivaTech,1.1728
2018-05-24,Emmanuel Macron,"J’ai besoin de vous pour faire réussir la totalité du pays : de le faire à Marseille, à Paris, à Strasbourg, à Lyon… https://t.co/VPkeMN7vzB",1.1728
2018-05-24,Emmanuel Macron,"Ce sont les talents : les jeunes ou les moins jeunes qui créent, qui ont envie de réussir et qui donnent ce visage… https://t.co/FDarGDuVxo",1.1728
2018-05-24,Emmanuel Macron,"Je le dis clairement : il ne peut y avoir de passagers clandestins, les acteurs de la disruption doivent aussi être… https://t.co/D6Pi57Z81N",1.1728
2018-05-24,Emmanuel Macron,"This past decade, Facebook has revolutionized our interactions with one another. Thank you Mark for this open and t… https://t.co/ujYVBZh85D",1.1728
2018-05-24,Emmanuel Macron,Thank you @satyanadella for engaging in this #TechForGood discussion and for committing Microsoft to a positive soc… https://t.co/KFHHnJ4aue,1.1728
2018-05-24,Emmanuel Macron,"Nous sommes en train de réussir la création d’un écosystème performant en France :
– créer et faire développer des… https://t.co/RqaHlRV2Q6",1.1728
2018-05-24,Emmanuel Macron,Le pays a changé et vous êtes des acteurs essentiels de ce changement. #VivaTech https://t.co/C3yg3oMV1m,1.1728
2018-05-24,Emmanuel Macron,"2017 a été une année record pour la French Tech avec 2,5 milliards investis dans les start-up. Nous avons triplé le… https://t.co/PHWxGeeCtV",1.1728
2018-05-24,Emmanuel Macron,"LIVE | Innover pour le bien commun. Discours à #VivaTech.
#TechForGood
https://t.co/UMF6w7XEAj",1.1728
2018-05-24,Emmanuel Macron,"Les acteurs du changement ne sont pas toujours exemplaires : non-respect des règles fiscales, fragilisation de la p… https://t.co/w3HaEbOnpS",1.1728
2018-05-24,Emmanuel Macron,Depuis maintenant plus d’un an ma démarche est la même : dialoguer avec tous pour défendre partout les intérêts et… https://t.co/kP6yTfF38k,1.1728
2018-05-24,Emmanuel Macron,"Technology has already changed all of our lives. Today, Uber takes a step forward to make #TechForGood. Every indep… https://t.co/nLtgEbUsab",1.1728
2018-05-24,Emmanuel Macron,Les mois à venir seront décisifs en Ukraine. Il n’y a pas d’autre solution que la mise en œuvre des accords de Minsk.,1.1728
2018-05-24,Emmanuel Macron,Avec Alexandre Tcherkassov directeur de l'ONG Mémorial pour évoquer la question des droits de l'Homme. https://t.co/PJEswcsmxM,1.1728
2018-05-24,Emmanuel Macron,L’écho d’une voix qui a marqué le XXᵉ siècle et continue d’éclairer le nôtre. Avec Madame Soljenitsyne. 13 minutes… https://t.co/YYPRrhjLc9,1.1728
2018-05-24,Emmanuel Macron,"Avec cette 3ᵉ coupe d’Europe #UWCLfinal d’affilée, les joueuses de l’@OL ont écrit une page qui fera date dans l’hi… https://t.co/h65oIcjOTM",1.1728
2018-05-24,Emmanuel Macron,Dans un dialogue exigeant et volontaire nous souhaitons avec Vladimir Poutine dessiner un peu de ce siècle qui s’ou… https://t.co/i91hiv2Q6e,1.1728
2018-05-24,Emmanuel Macron,"Pour éviter une escalade de violences au Moyen-Orient, notre volonté commune avec la Russie : construire un cadre p… https://t.co/eMgC5medAr",1.1728
2018-05-24,Emmanuel Macron,Depuis septembre 2017 je propose qu’on ouvre un nouvel accord pour compléter l’accord sur le nucléaire iranien. La… https://t.co/8bdU87AE7A,1.1728
2018-05-24,Emmanuel Macron,Je crois que nous devons respecter la souveraineté des peuples. Nous ne pouvons nous substituer à leur choix. J’att… https://t.co/wMr7h7QPow,1.1728
2018-05-24,Emmanuel Macron,Nous parlons à tous. C’est la marque de notre indépendance. Nous le faisons de manière directe et franche. C’est la… https://t.co/U9tmbX8onv,1.1728
2018-05-24,Emmanuel Macron,La France et la Russie sont membres permanents du Conseil de Sécurité des Nations Unies. Nous n’avons pas d’autre c… https://t.co/EdJWDB4xgo,1.1728
2018-05-24,Emmanuel Macron,Pierre le Grand avait pensé Saint-Pétersbourg comme une fenêtre sur l’Europe. Notre présence ici nous rappelle ce q… https://t.co/aX4xjni1yQ,1.1728
2018-05-24,Emmanuel Macron,La politique étrangère de la France est pleinement indépendante. Nous ne nous alignons sur personne. Nous prenons n… https://t.co/apO5RZs7Qi,1.1728
